,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
70,CPO 12 FOREST GROVE,101,057,1,0571,TV Hwy/Forest Grove,To Beaverton Transit Center,57,BUS
333,CPO 9 HILLSBORO,101,057,1,0571,TV Hwy/Forest Grove,To Beaverton Transit Center,57,BUS
0,WEST BEAVERTON,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
10,FIVE OAKS/TRIPLE CREEK,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
13,CPO 6 COOPER MTN-ALOHA N,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
42,CPO 7 SOMMERSET WEST-ELMONICA S,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
50,CENTRAL BEAVERTON,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
165,CPO 6 COOPER MTN-ALOHA S,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
168,CPO 7 SOMMERSET WEST-ELMONICA N,87,052,1,0521,Farmington/185th,To Beaverton Transit Center,52,BUS
0,WEST BEAVERTON,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
10,FIVE OAKS/TRIPLE CREEK,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
13,CPO 6 COOPER MTN-ALOHA N,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
42,CPO 7 SOMMERSET WEST-ELMONICA S,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
50,CENTRAL BEAVERTON,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
165,CPO 6 COOPER MTN-ALOHA S,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
168,CPO 7 SOMMERSET WEST-ELMONICA N,86,052,0,0520,Farmington/185th,To PCC Rock Creek,52,BUS
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
49,LENTS,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
120,MADISON SOUTH,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
209,ROSE CITY PARK,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
220,HOLLYWOOD,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
223,SULLIVAN'S GULCH,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
225,MONTAVILLA,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
226,LAURELHURST,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
230,KERNS,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
235,PORTLAND DOWNTOWN,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
275,HAZELWOOD,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
276,OLD TOWN/ CHINATOWN,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
304,POWELLHURST-GILBERT,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
348,SOUTHGATE,189,200,0,2000,MAX Green Line,To Clackamas Town Center,MAX,MAX
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
49,LENTS,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
68,SULLIVAN'S GULCH / GRANT PARK,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
120,MADISON SOUTH,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
209,ROSE CITY PARK,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
220,HOLLYWOOD,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
223,SULLIVAN'S GULCH,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
225,MONTAVILLA,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
226,LAURELHURST,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
230,KERNS,191,200,1,2001,MAX Green Line,To Portland City Center/PSU,MAX,MAX
